ID,Password,Expected Strength,Actual Strength,Score,Entropy,Effective Entropy,Attack Type,Estimated Crack Time,Category
204,G![I:$/s^;`a6^<8G#ZktPnY,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
267,hOH;?5>4d/DB.i8e5P]^^KJv,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
153,Github@Repo6,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
10,password,Very Weak,Very Weak,5,37.6,0.0,Dictionary Attack,Instantly,Common Password
234,"v;`cQ*&rU_k!+.]/YSSo,oU'",Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
227,"K_njx_q]=+G1EUE4Hu""U)F}f",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
197,*a.LSzj2#eG]=Jy;Tp,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
110,jjjj0000,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
6,000000,Very Weak,Very Weak,5,19.93,0.0,Brute Force Attack,Instantly,Common Password
176,J/yxrb)O`2RoOIgG-I,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
238,"G*1+T+=JVB""EOPEft*:jKyJb",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
58,Project@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
219,"_JebH*~39m#2]H,rV{ut|=kA",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
46,Quetta@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
183,SZhgx<8D*-I8s*@2xk,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
222,"xhdcozi8dY,2S)sG3af91@7""",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
290,YwOnc6_;\lb'APT0?BHJCO)4,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
212,"m'M}[h.H(H""fS-cersZ`3Br^",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
149,Project@Final9,Moderate,Moderate,60,91.76,81.76,Brute Force Attack,Several Days,Moderate Password
166,'_juJq|jsH({S-;toy,Strong,Moderate,60,115.06,115.06,Brute Force Attack,Several Days,Strong Random
79,Internet@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
114,admin111,Weak,Very Weak,10,41.36,0.0,Dictionary Attack,Instantly,Pattern Password
250,1{Si5Anucc@Bj1_~A#[+K7xp,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
251,]e@'fUTF50DNvnPm<(*iGhYK,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
105,eeee5555,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
43,Karachi@123,Weak,Weak,25,72.1,24.1,Dictionary Attack,Few Seconds,Dictionary Password
282,<keF>vtBx.<rlD#9dp%Y\q+j,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
296,%ebjaCdDj&93ZL{OqtjX7F`),Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
158,Internet@Cloud3,Moderate,Strong,70,98.32,98.32,Brute Force Attack,Several Days,Moderate Password
239,)JH6+z#O*fcp2j1wlv9-#p--,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
18,root123,Very Weak,Very Weak,10,36.19,0.0,Sequential Guessing,Instantly,Common Password
165,_aBvPH8d}{3SrryH(H,Strong,Strong,65,117.98,107.98,Brute Force Attack,Several Days,Strong Random
34,pakistan123,Very Weak,Very Weak,5,56.87,8.87,Dictionary Attack,Instantly,Common Password
25,letmein,Very Weak,Very Weak,10,32.9,0.0,Brute Force Attack,Instantly,Common Password
216,"K?w?%[;!,t,(*Ad@jlkej2(m",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
120,python123,Weak,Very Weak,20,46.53,18.53,Sequential Guessing,Instantly,Pattern Password
8,112233,Very Weak,Very Weak,10,19.93,0.0,Brute Force Attack,Instantly,Common Password
91,123456789,Weak,Very Weak,0,29.9,0.0,Pattern Attack,Instantly,Pattern Password
47,Computer@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
74,Microsoft@123,Weak,Moderate,50,85.21,67.21,Sequential Guessing,Several Hours,Dictionary Password
94,abc123456,Weak,Very Weak,10,46.53,0.0,Pattern Attack,Instantly,Pattern Password
77,Laptop@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
287,#;0/=2gBb)xG8&V>|wyp`TPd,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
61,Science@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
78,Mobile@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
64,Engineer@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
235,"""GC\~Hkw^YE|q$O9s#\QUS:b",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
230,"c.p!Gk""w:.Eca]\j2f8Kf69=",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
112,pakistan123,Weak,Very Weak,5,56.87,8.87,Dictionary Attack,Instantly,Pattern Password
232,|6K:MhCt@'zb`TP[]9xR{A**,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
181,"1ICZU`^c{u;VAa`K,A",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
145,Secure#Login7,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
240,"9""v)S3:2>""i4~-`=n&C$j2;v",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
76,Github@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
298,"I|?p?_8u%q34OkKf+5F3w-&""",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
279,|u}Nf#5wOXWivx]VY:y^kYwk,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
98,222333444,Weak,Very Weak,15,29.9,0.0,Brute Force Attack,Instantly,Pattern Password
93,123abc456,Weak,Very Weak,20,46.53,10.53,Sequential Guessing,Instantly,Pattern Password
193,w3c1'hU=*`3mn&0m9O,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
26,dragon,Very Weak,Very Weak,10,28.2,0.0,Brute Force Attack,Instantly,Common Password
233,4y1C^N'Y*|Yi%Y</&BcDbsyQ,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
60,Technology@123,Weak,Moderate,50,91.76,73.76,Sequential Guessing,Several Hours,Dictionary Password
7,654321,Very Weak,Very Weak,0,19.93,0.0,Pattern Attack,Instantly,Common Password
186,Xb6#^pta18*pY+t:3&,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
174,E0[]jHMnDN1TDL\l1G,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
31,hello123,Very Weak,Very Weak,20,41.36,13.36,Sequential Guessing,Instantly,Common Password
23,asdf123,Very Weak,Very Weak,0,36.19,0.0,Pattern Attack,Instantly,Common Password
257,b-'y-To0pYwPY>\rrj[Bu15P,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
57,Database@123,Weak,Moderate,45,78.66,50.66,Sequential Guessing,Few Minutes,Dictionary Password
187,j1D`~L6r@[[.0]>\Tg,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
109,iiii9999,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
127,Winter#Moon9,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
231,S]~)x<N%D0/Zc&0B$YEPR`N@,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
194,"{nS%`t/k:u90"";.&Va",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
130,Happy@Family9,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
283,".Y,I_!||xLdq~Qk&`Npp*YC(",Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
83,zxcvbn123,Weak,Very Weak,10,46.53,3.53,Pattern Attack,Instantly,Pattern Password
85,1q2w3e4r,Weak,Very Weak,20,41.36,6.36,Pattern Attack,Instantly,Pattern Password
67,Cricket@123,Weak,Weak,25,72.1,24.1,Dictionary Attack,Few Seconds,Dictionary Password
289,"K>.MN*B},<$M>#Po-iv""@`b4",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
164,eO4-H;x-hp=19bVPI.,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
155,Database@SQL8,Moderate,Moderate,55,85.21,65.21,Brute Force Attack,Several Hours,Moderate Password
20,abc123,Very Weak,Very Weak,10,31.02,0.0,Sequential Guessing,Instantly,Common Password
125,Coffee@House7,Moderate,Moderate,55,85.21,65.21,Brute Force Attack,Several Hours,Moderate Password
80,System@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
115,computer123,Weak,Very Weak,20,56.87,28.87,Sequential Guessing,Few Seconds,Pattern Password
119,network123,Weak,Very Weak,20,51.7,23.7,Sequential Guessing,Few Seconds,Pattern Password
73,Google@123,Weak,Weak,25,65.55,17.55,Dictionary Attack,Instantly,Dictionary Password
16,login123,Very Weak,Very Weak,20,41.36,13.36,Sequential Guessing,Instantly,Common Password
11,password123,Very Weak,Very Weak,5,56.87,8.87,Dictionary Attack,Instantly,Common Password
195,c/u|Tx[\hX~LWX{Dyp,Strong,Moderate,60,115.06,115.06,Brute Force Attack,Several Days,Strong Random
102,bbbb2222,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
69,Islam123@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
225,"3^!:pkX38e-wwHCc\7k(""q7H",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
38,computer,Very Weak,Very Weak,20,37.6,17.6,Brute Force Attack,Instantly,Common Password
17,guest123,Very Weak,Very Weak,20,41.36,13.36,Sequential Guessing,Instantly,Common Password
180,0TADQY{\$'!M/<.[{P,Strong,Moderate,60,109.57,109.57,Brute Force Attack,Several Days,Strong Random
148,Football@Club6,Moderate,Weak,40,91.76,51.76,Dictionary Attack,Few Minutes,Moderate Password
275,"x|a/a.BwW,4N91U.?(]vp9AV",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
68,Pakistan786@123,Weak,Moderate,45,98.32,70.32,Dictionary Attack,Several Hours,Dictionary Password
229,jFl)yWg&~d`6)DUdY~y=tujR,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
70,DataScience@123,Weak,Moderate,60,98.32,90.32,Sequential Guessing,Several Days,Dictionary Password
32,welcome1,Very Weak,Very Weak,15,41.36,1.36,Dictionary Attack,Instantly,Common Password
184,#3GpHk`an^?Xq8]m8z,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
266,xhky.ydR'lu!X-&BRd]lz$a5,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
226,ET<:!#V=4nby&_$r/J|1~'Bz,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
141,Mountain@River2,Moderate,Strong,70,98.32,98.32,Brute Force Attack,Several Days,Moderate Password
19,test123,Very Weak,Very Weak,10,36.19,0.0,Sequential Guessing,Instantly,Common Password
182,F*kx[SdY&0sk-q`d&<,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
97,111222333,Weak,Very Weak,15,29.9,0.0,Brute Force Attack,Instantly,Pattern Password
133,Laptop@Desk7,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
263,}SL3%:idw$65}}F|/_KSk|Vl,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
87,qwerty@123,Weak,Very Weak,20,60.87,17.87,Pattern Attack,Instantly,Pattern Password
249,"P~J,@r&l0\IyxV@:vu?8I,%F",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
246,{%GB^)ERwTSJ@<1IofpJ-;S\,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
117,teacher123,Weak,Very Weak,20,51.7,23.7,Sequential Guessing,Few Seconds,Pattern Password
147,Science@Lab4,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
293,"@]Vpl@`hLcbpTBq}dWnD,Jk&",Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
198,d=a/1pVS7=n'L`dob%,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
207,TMBk8ukXZ]AS:01EGYil?vh;,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
56,Network@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
173,"rIADC""oGJQ9Q4+/vX^",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
185,=XrdoV$o;?qIv-6f8~,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
